ID;PE1;PE2;PE3;PE4;EE1;EE2;EE3;SI1;SI2;SI3;SI4;FC1;FC2;FC3;HM1;HM2;HM3;HA1;HA2;HA3;HA4;HA5;IU1;IU2;U1;U2;U3;U4;TRI1;TRI2;TRI3;TRI4;TRI5;TRI6;TRI7;TRI8;TRI9;TRI10;TRI11;TRI12;TRI13;TRI14;TRI15;TRI16;EXP;EDU;SOC;WSTATUS;RETIRED;GENDER;BORN;GENERATION;REGION
99;3;3;4;5;4;3;4;5;4;4;4;3;4;4;5;5;5;3;2;3;3;2;5;5;5;4;1;1;4;3;4;4;2;3;3;2;4;4;4;4;3;5;5;4;9;3;3;N;Y;Female;1944;Silent generation ;Biobío
100;4;4;4;4;2;2;1;4;4;3;2;4;4;4;3;3;3;2;3;2;2;2;4;4;1;5;3;2;4;3;2;2;3;2;2;2;2;4;3;4;4;4;2;4;10;4;3;N;Y;Female;1946;Silent generation ;Biobío
101;4;5;5;4;4;4;4;4;5;5;5;4;4;5;5;5;5;4;4;4;4;4;5;4;5;4;4;3;4;4;4;4;4;4;3;4;3;4;3;3;4;4;5;3;10;3;3;Y;N;Female;1959;Late Baby boomer ;Biobío
102;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;2;2;2;2;5;3;3;2;12;4;3;Y;Y;Male;1958;Late Baby boomer ;Biobío
103;5;5;5;5;3;3;3;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;4;2;2;2;2;2;4;4;4;4;2;2;4;4;4;4;4;4;4;4;4;2;6;3;3;N;Y;Male;1941;Silent generation ;Biobío
104;4;4;5;5;4;3;4;4;4;4;4;4;3;4;4;4;4;4;5;5;5;5;4;4;5;4;4;5;4;4;4;4;3;2;3;3;4;4;4;3;4;4;4;2;10;4;1;Y;N;Male;1961;Late Baby boomer ;Biobío
105;2;1;4;3;4;2;1;1;5;5;5;4;4;4;3;3;3;2;3;3;3;4;4;1;5;1;3;3;1;2;5;1;1;3;1;5;5;1;3;2;2;3;3;1;5;4;4;Y;N;Male;1961;Late Baby boomer ;Biobío
106;5;5;5;5;4;4;4;4;4;4;3;5;4;5;3;4;4;4;4;5;4;5;4;4;4;4;4;3;4;4;4;3;2;2;3;3;3;3;3;3;3;3;3;3;10;4;4;Y;N;Male;1960;Late Baby boomer ;Biobío
107;4;5;5;5;4;4;4;4;4;4;4;5;4;5;4;4;5;4;5;4;4;4;5;4;4;2;3;4;3;4;2;2;3;2;3;4;3;4;4;4;4;3;4;3;12;4;3;Y;Y;Female;1960;Late Baby boomer ;Biobío
108;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;5;5;4;4;4;4;4;4;5;5;5;5;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;17;4;3;Y;N;Male;1959;Late Baby boomer ;Biobío
109;5;5;4;4;2;2;2;5;5;5;4;4;2;4;4;4;4;2;2;4;1;2;5;4;3;5;3;1;5;5;4;5;3;2;5;2;5;5;4;4;5;4;4;5;8;2;2;N;Y;Male;1942;Silent generation ;Coquimbo
110;4;4;5;5;4;4;4;5;5;5;3;4;3;5;5;4;4;3;3;3;2;2;4;4;3;3;3;3;1;4;2;2;3;2;1;3;4;4;3;3;2;4;5;1;10;4;2;N;Y;Female;1958;Late Baby boomer ;Biobío
